state_abbr,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)"
NV,2016,6029,49925,53,2524,472,1311,10692,13817,242,331,607,1637,33,0,0,6999,3400,6,900,166,988,2892,257,1905,14037,1584,118,1521,1486,1897,716
NV,2017,5574,52762,60,3168,445,1564,10543,9245,256,237,539,1632,23,42,0,6606,3507,7,882,159,930,2600,359,1556,16153,1795,187,1712,1601,2024,750
NV,2018,6069,60461,79,3157,371,2299,11130,11318,393,289,444,1827,23,25,7,6574,3751,10,760,193,1048,2859,411,1420,17932,1863,35,3194,1645,2256,913
NV,2019,6045,65766,85,3294,361,2964,11771,12902,307,370,522,2121,39,23,13,6696,3463,5,705,128,1078,3170,433,1307,19407,1900,90,3402,1887,2439,1196
NV,2020,4199,40888,104,2171,249,2056,10367,10311,237,246,422,1420,26,24,1,5297,1954,6,593,152,743,2103,367,1196,19678,1863,90,577,2046,2702,762
NV,2021,4180,35351,142,1804,313,2014,11211,8863,0,168,272,993,45,37,0,4803,1295,3,711,163,642,1988,321,1173,20599,1884,0,332,2153,3016,352
NV,2022,4448,36657,161,2210,256,2058,11373,7884,0,209,212,1008,55,45,0,5149,1380,5,837,161,545,2280,287,1296,19892,2100,0,469,2168,2887,434
NH,2004,338,13718,24,385,16,1147,5911,3512,4112,20,172,1097,9,0,0,2134,5291,1,177,6,178,41,78,114,4926,337,0,50,1121,91,162
NH,2005,350,14740,52,422,25,1479,5169,3197,4208,33,250,1221,4,0,0,2668,5002,2,143,6,195,74,56,128,5689,400,0,32,1261,156,216
NH,2006,397,14884,64,435,18,1537,5340,3399,4926,41,237,1158,1,0,0,2541,5776,3,150,8,167,98,73,160,5849,446,0,51,1492,140,214
NH,2007,359,14191,49,463,10,1324,4720,3005,4601,45,164,969,24,0,0,2477,5073,1,116,5,204,67,39,156,5741,486,0,46,1409,119,182
NH,2008,443,14008,49,465,33,1469,4855,3500,4301,58,229,983,5,0,0,3123,5203,0,101,7,183,57,77,176,6289,555,0,45,1289,99,185
NH,2009,471,14286,54,552,27,1501,4676,3984,4022,47,222,764,3,0,0,3635,5434,1,114,3,196,46,46,175,6511,579,0,78,1318,108,176
NH,2010,520,14178,39,598,18,1505,4567,4069,3699,40,226,796,5,0,0,3902,4537,1,70,5,184,24,63,197,6639,710,0,55,1308,122,170
NH,2011,715,14227,42,585,20,1271,4196,4029,3618,51,225,794,3,0,0,3926,4543,4,86,7,176,50,58,188,6089,739,0,61,1282,86,165
NH,2012,609,13658,51,592,28,1369,4177,3930,3308,40,218,814,3,0,0,3947,4422,1,95,7,177,103,61,221,5993,753,0,59,1286,77,137
NH,2013,577,13447,33,477,17,1201,3722,4223,3278,54,281,925,18,0,0,4669,3689,0,86,8,175,48,71,247,5516,745,0,72,1255,96,146
NH,2014,616,13388,35,430,21,1068,4628,6335,3393,109,235,914,23,0,0,4616,3475,0,85,0,164,64,55,216,5391,732,0,58,1179,115,147
NH,2015,585,12600,20,411,14,993,4939,7619,3409,137,273,876,6,0,0,4203,3277,3,107,10,135,60,57,189,5193,585,0,56,1034,149,130
NH,2016,629,13027,31,347,13,956,4903,8371,3690,129,237,847,7,0,0,3500,2949,2,113,6,164,91,61,180,5153,555,0,65,1182,170,130
NH,2017,699,14640,30,378,11,1007,4888,7966,4246,136,327,875,12,0,0,3310,2526,3,166,10,207,79,70,172,5458,536,0,82,1275,142,105
NH,2018,660,14730,23,326,30,890,5102,6645,3858,104,247,786,4,0,0,3205,2090,1,166,11,189,25,80,154,5764,568,0,98,1279,146,140
NH,2019,511,15496,15,249,10,952,5349,5907,4028,83,244,751,2,0,0,3067,1838,1,152,15,150,49,94,139,5584,480,0,97,1188,127,137
NH,2020,491,13455,22,244,14,820,4089,4596,1770,64,166,465,1,0,0,2347,1440,7,148,3,141,23,73,108,5030,375,0,118,1033,131,103
NH,2021,398,18152,19,210,3,859,4065,4256,0,48,143,384,1,0,0,2153,1634,12,144,5,211,5,73,87,4527,375,0,103,1084,222,121
NH,2022,361,18126,17,153,7,771,3567,3314,0,52,112,306,3,0,0,1862,1046,3,112,10,303,2,71,112,4343,276,0,92,948,234,100
NJ,2004,10012,136126,378,6086,5271,21697,24875,53813,4,117,2352,5688,152,0,0,25218,7570,35,1157,270,15116,2408,483,4095,29185,6057,4,1213,7384,6050,1933
NJ,2005,9336,136927,368,5806,6326,21682,24888,54167,16,92,2005,5467,283,0,0,23866,7265,22,1093,278,14872,2342,485,4193,28304,5257,1,1714,7141,6310,1897
NJ,2006,9159,147363,455,6149,6322,21572,25226,54187,3,120,1973,4865,309,0,0,23628,8039,24,1098,312,15312,2022,428,4425,28073,5119,5,1635,7667,6463,1762
NJ,2007,9004,151860,372,5856,4872,22834,25187,52875,0,140,1784,4481,182,0,0,24748,7816,23,943,269,14959,1707,400,4077,26854,4577,0,1497,7462,5507,1613
NJ,2008,8992,152865,397,6460,4763,23505,24641,52877,0,162,1739,5043,158,0,0,27036,7751,25,922,280,15676,1456,376,4391,26790,4053,0,1898,7020,5114,1546
NJ,2009,8809,156468,320,6301,5662,22084,27816,53379,0,147,1781,5129,275,0,0,27778,7364,33,804,231,14582,1415,367,4422,27359,3755,0,1483,6540,4906,1573
NJ,2010,8389,139634,291,6055,3426,20185,26581,49799,0,171,1717,3880,107,0,0,27027,6906,32,653,257,13334,1495,325,3868,26663,3221,0,840,5651,4383,1465
NJ,2011,7952,128975,264,6667,1795,17927,26430,46929,0,211,1846,3347,103,0,0,26636,7259,35,689,207,14609,1087,280,3599,24711,3352,0,289,5259,4126,1312
NJ,2012,7386,131302,254,6653,1714,18164,26395,52415,0,205,1752,3218,102,0,0,25970,5378,35,695,222,12639,910,319,3553,23929,3371,0,239,4767,4016,1275
NJ,2013,6988,123054,223,5722,1016,15386,24700,53193,0,272,1298,3862,143,0,0,25451,4175,27,692,235,11270,1163,296,3663,22843,3217,0,285,4111,4054,1222
NJ,2014,6623,118242,217,5167,1813,15282,23918,54908,0,331,1176,4985,253,0,0,25046,4180,25,553,261,10152,965,326,3346,22158,2801,0,350,3884,3907,1173
NJ,2015,6583,112400,171,4540,1416,12868,23595,52597,0,292,1044,3690,351,0,0,23426,3770,11,662,209,9809,806,399,3131,22306,2438,0,674,4009,3806,1021
NJ,2016,6515,110807,186,4423,1406,12995,23568,62990,0,323,1053,3945,421,0,0,22112,3294,16,512,201,8902,866,398,3053,22845,2750,0,274,3940,4143,1006
NJ,2017,6001,107648,139,4105,612,12036,22001,64835,0,273,1044,3570,162,0,0,20864,3010,31,509,151,8988,924,348,2680,20866,2645,0,307,3416,4040,1030
NJ,2018,6321,103335,147,3379,367,10841,20859,57552,24,253,941,3831,161,0,0,18350,1698,21,598,165,8514,798,339,2234,20013,2486,2,204,3021,3546,1079
NJ,2019,6709,92054,121,3310,402,11321,21386,55954,66,212,950,3890,169,5,19,18210,1827,21,649,187,7379,770,357,2068,20588,2488,210,169,3073,3800,1029
NJ,2020,6671,47703,159,2783,217,7642,14403,37845,69,107,580,1939,65,23,6,12600,927,13,589,164,2659,300,328,1781,18879,2454,56,143,2833,3642,778
NJ,2021,4059,25005,81,1205,57,3566,9913,9272,9,70,286,620,8,0,20,6533,173,10,417,176,1195,181,211,888,11615,1316,7,83,1572,2448,532
NJ,2022,5928,37961,130,2030,90,4902,12810,10278,14,137,614,936,12,0,18,13347,244,29,621,163,1023,299,233,1255,17467,1930,38,225,2160,3790,583
NM,2004,2881,44293,44,1259,18,2919,13681,7139,597,214,616,751,10,0,0,5828,4603,11,393,97,1334,412,138,370,6789,907,87,14,713,768,147
NM,2005,3322,46001,498,1300,52,3110,12499,6440,813,221,527,660,7,0,0,5777,4529,9,517,109,1268,302,135,421,6921,787,48,113,763,875,148
NM,2006,2905,41169,114,1199,25,3180,10427,6182,530,183,332,591,13,0,0,4324,4615,10,528,72,1058,334,154,383,6851,808,159,4,893,895,173
NM,2007,3188,36186,51,1104,32,3074,11432,6673,627,173,302,554,1,0,0,5423,4461,2,455,84,805,348,140,410,7595,867,40,15,995,797,170
NM,2008,3550,39601,253,1526,72,3463,14025,7017,1201,190,295,630,3,0,0,8527,5197,11,442,96,1311,224,151,448,8180,796,151,25,1053,738,184
NM,2009,3664,46406,110,1568,15,3700,12890,7624,816,194,210,574,20,0,0,10051,5385,4,490,83,1435,290,132,388,9740,629,68,69,1036,725,188
NM,2010,3884,48196,171,1646,10,3552,11462,8804,845,211,299,616,37,0,0,10216,5215,10,389,86,1354,347,126,331,10574,587,92,50,1379,715,211
NM,2011,3866,46201,214,1849,17,3509,11541,8886,658,233,222,573,20,0,0,10816,5091,14,410,84,1684,264,122,380,9852,621,16,5,1288,697,221
NM,2012,4038,46421,269,1997,7,3506,10800,8909,367,217,273,574,19,0,0,11036,4707,5,393,107,1555,297,130,357,10204,781,15,4,1303,665,180
NM,2013,3468,41188,652,1660,0,2403,8804,7005,187,227,246,485,15,0,0,10696,3174,7,378,130,1100,287,142,287,8501,784,10,2,1167,610,167
NM,2014,3797,43921,55,1573,0,2661,8562,6611,80,199,231,648,6,0,0,10143,3054,8,374,114,1420,162,145,267,9267,817,19,63,1097,571,140
NM,2015,3926,41972,337,1253,5,2873,9844,8569,2782,209,301,613,1,0,0,10130,2933,9,466,92,1693,62,134,402,9852,1195,46,104,1374,661,139
NM,2016,4030,40584,650,1114,10,2267,8274,8340,1959,267,322,746,1,0,0,9393,2406,12,552,79,1444,47,136,408,9617,1662,58,255,1395,688,108
NM,2017,4218,41874,474,1292,1,2104,8114,7727,1770,164,272,605,1,0,0,7045,1814,13,420,61,1610,37,127,474,9219,1537,13,103,1177,555,131
NM,2018,4454,42346,52,1112,1,1924,7876,6804,1999,146,218,477,3,0,0,6381,1638,7,454,85,1579,91,114,471,9419,1253,12,61,1183,657,77
NM,2019,4049,37067,46,976,14,1984,7538,5434,2136,156,173,459,3,0,1,5808,1616,3,415,84,2032,48,99,339,8929,974,15,92,1436,662,85
NM,2020,3480,23209,44,865,2,1456,5520,3929,1458,103,69,187,5,2,0,4273,1029,8,397,52,2699,35,77,284,7667,873,10,89,1605,673,52
NM,2021,2955,14961,32,747,0,1331,4601,2716,0,98,41,156,1,0,0,2922,889,6,323,59,872,12,66,235,8936,753,0,66,1549,565,44
NM,2022,2613,14123,39,803,2,1411,5218,2787,0,90,58,177,0,0,0,3907,797,5,345,44,953,16,26,203,9163,1066,0,121,1563,600,43
NY,2004,10975,95089,434,8326,0,16698,30198,55308,0,239,5213,12109,214,0,0,42103,6232,50,3175,290,2936,2026,812,4081,29058,6790,0,1464,14549,4708,4849
NY,2005,11495,95890,532,8552,0,16886,31789,58547,0,216,5215,11402,198,0,0,42746,5748,48,3022,370,2886,1836,823,4554,31703,6715,0,1925,14057,4949,4915
NY,2006,11874,92179,453,9240,0,17042,31843,65254,0,197,5236,9868,199,0,0,41463,6072,29,2920,316,2674,1824,775,4988,34009,6315,0,2026,14271,4991,4665
NY,2007,11050,87767,485,8446,0,16431,29429,63058,2,1038,4507,8658,166,0,0,42433,5562,39,2750,363,2532,1360,731,4248,34316,5848,0,1140,13830,4360,4479
NY,2008,10539,81612,490,8683,0,15497,28606,59297,0,204,4151,7826,116,0,0,45347,4966,41,2250,327,2580,948,582,4248,32786,5378,0,1009,13382,3927,4161
NY,2009,10690,79418,419,8317,0,15063,36694,61957,0,156,3620,7868,237,0,0,49523,5260,28,2208,282,1324,874,534,4380,37004,5544,0,1180,16457,4263,4208
NY,2010,10590,74663,351,8747,0,14302,38720,65710,0,103,3203,6684,163,0,0,50330,4726,16,2075,289,635,896,516,3854,39851,5301,0,884,17277,4001,3786
NY,2011,9759,69703,286,8841,0,13176,39217,65331,0,118,3115,6607,193,0,0,51120,4556,14,1986,247,602,963,470,3920,38866,5382,0,766,17130,3769,3502
NY,2012,10135,68123,380,9333,0,12904,34042,67322,0,101,3647,6234,190,0,0,51906,4940,15,2152,209,467,805,461,3820,38118,5854,0,807,18184,4086,3588
NY,2013,9025,52861,344,8130,0,10341,31174,67324,0,90,3122,5720,120,0,0,50765,3145,21,1825,273,396,1181,370,3799,38197,4814,0,755,15673,3580,2393
NY,2014,8531,47476,298,7198,0,8731,30546,64385,0,52,2713,5378,82,0,0,47495,2467,15,1778,216,551,923,469,3614,32185,4227,0,797,15000,3437,2159
NY,2015,8698,47286,282,6427,0,7287,30361,25013,0,74,2795,5045,78,0,0,45308,1873,11,1811,268,604,869,1164,3646,31396,3756,0,731,14915,3535,2007
NY,2016,8765,44971,242,5950,0,6498,29984,25817,0,64,2852,4481,74,0,0,42550,1609,18,1856,263,611,632,1122,3337,30120,3527,0,566,15042,3677,2011
NY,2017,8594,44355,298,5480,0,5588,28533,76716,0,48,2730,4417,102,0,0,39002,1498,13,1812,274,576,688,1015,3236,29039,3368,0,629,14351,3583,1787
NY,2018,8146,42343,282,4696,0,5271,27000,76108,0,37,2207,4142,45,0,0,36890,1106,11,1901,263,536,599,994,2798,28321,3006,0,593,13410,3354,1894
NY,2019,7622,36877,226,4060,0,3983,26268,57667,0,26,1814,3625,33,0,0,34087,734,21,1795,200,538,502,1019,2287,25270,2334,0,757,12390,2896,1634
NY,2020,7187,25643,227,4558,0,1925,18284,35288,0,22,1408,1603,37,0,0,26119,259,8,1916,278,324,178,756,1911,20200,2467,0,146,11073,2832,1194
NY,2021,2528,12251,114,1317,0,701,4256,4160,0,16,257,321,7,1,0,7789,171,5,760,94,41,14,205,621,7830,560,0,16,4358,1152,278
NY,2022,7478,32255,258,4512,0,2035,21583,15490,0,49,1733,1395,27,0,0,28151,419,24,2190,274,633,136,784,1906,22162,2508,0,71,11463,4102,1343
NC,2004,15988,133950,332,15596,9,15462,54841,40577,0,2145,4213,37560,377,0,0,41120,13792,64,2024,606,9309,1160,759,3773,57259,6171,0,5,9074,6954,1505
NC,2005,17845,148086,418,16817,26,19243,53643,44177,0,2037,3741,33370,434,0,0,43681,14922,66,2032,709,9218,1456,802,4449,61345,6844,0,90,9898,8770,1708
NC,2006,16640,147486,439,17312,15,17871,54123,41231,0,1985,3571,29020,606,0,0,40769,17031,70,2089,725,9063,1616,808,4603,60903,6784,0,513,10421,8954,1661
NC,2007,15399,141120,456,16662,2,17270,50535,43711,0,1994,2951,24068,177,0,0,41964,10843,58,1798,681,8143,1586,655,4543,58888,6163,0,382,9293,8558,1620
NC,2008,15599,137372,377,17814,4,17137,53148,41299,0,1945,2812,22289,153,0,0,50114,11586,76,1904,682,7951,1447,661,4956,58969,6020,0,204,9165,8845,1612
NC,2009,15403,143662,363,17276,0,15911,54944,39225,0,1641,2599,20952,123,0,0,49811,10897,66,1449,587,7717,1312,630,4562,59474,5367,0,216,8789,7790,1496
NC,2010,14819,143658,390,16283,0,15376,53136,36083,0,1555,2204,18599,85,0,0,47544,10281,56,1315,595,6892,1224,638,3883,57948,4788,0,283,7927,7230,1618
NC,2011,14755,148070,426,17411,0,16057,53896,42495,0,1473,2371,18293,422,0,0,52602,29524,57,1447,574,7716,989,566,3911,60362,4802,0,414,8729,7397,1690
NC,2012,14631,144490,386,16318,1,14571,48970,41326,0,1415,2189,15764,196,0,0,53141,13948,85,1327,589,7818,839,569,3943,57544,4705,0,564,8144,6962,1725
NC,2013,12774,133340,332,14863,0,11530,42892,37858,0,1318,2212,14248,212,0,0,49681,9545,65,1231,589,7640,737,428,4002,50995,4130,0,269,6891,6478,1446
NC,2014,12995,122487,286,13152,10,9432,41407,36919,0,1301,1937,13246,155,0,0,47989,5844,46,1169,518,6904,512,422,3485,49982,4041,0,311,6967,6647,1319
NC,2015,11548,104782,258,11392,20,8229,40058,25140,0,1347,1773,11550,128,0,0,43260,3752,53,1132,543,6297,486,392,3443,46765,3960,0,135,6150,6044,1202
NC,2016,11639,102548,266,11392,15,7021,36836,26219,0,1392,1759,10566,106,0,0,40639,3437,66,1211,702,5864,370,383,3614,45845,4117,0,15,5735,6294,1146
NC,2017,11426,106175,241,10770,22,6816,34532,34041,0,1483,1805,9523,72,0,0,36282,2882,54,1509,605,5900,461,329,3230,41668,4443,0,14,5535,6774,1156
NC,2018,10729,107030,226,9414,5,5829,33628,38768,0,1247,1452,7674,70,0,0,32597,2329,64,1724,656,5981,348,340,3282,37522,4359,0,42,4929,6278,1019
NC,2019,7217,101912,221,6061,21,3549,14829,37950,1591,757,855,3512,29,1,0,23843,1679,19,1158,424,3741,252,243,2185,24057,3665,0,33,2950,3239,344
NC,2020,8131,88501,261,6579,33,2799,13478,37918,855,684,719,2969,21,0,2,22072,1391,39,1436,535,3131,182,241,2320,24370,3799,0,93,3048,3696,412
NC,2021,8222,107641,240,5458,30,3197,14360,37363,0,634,562,2503,25,1,4,17021,1528,40,1378,614,2992,98,257,1789,23680,3613,0,216,3017,4375,447
NC,2022,7351,102688,210,5273,7,3029,13661,33156,0,720,520,2463,31,0,0,16440,1377,46,1323,509,3254,97,240,1542,23368,3460,0,145,2707,5146,406
ND,2004,151,6387,25,206,311,1570,4238,1658,562,2,149,1471,1,0,0,1857,5798,0,191,8,221,16,43,16,1529,119,0,1,627,158,94
ND,2005,202,7499,13,226,339,1678,4223,2016,545,13,156,1189,4,0,0,1874,5904,1,207,8,242,1,35,21,1982,137,0,2,587,204,75
ND,2006,214,6973,31,349,252,1767,4683,1900,606,27,159,1222,0,0,0,1733,6406,0,206,6,197,2,40,26,1958,119,0,0,669,144,80
ND,2007,263,6612,26,280,324,1616,4276,1870,720,28,132,910,3,0,0,2166,5845,1,174,12,175,6,39,34,2034,140,0,4,637,126,74
ND,2008,343,6017,24,301,279,1887,4056,1807,630,36,80,674,1,0,0,2551,5631,0,178,3,166,3,49,25,1963,142,0,3,600,168,100
ND,2009,384,5358,15,347,328,1884,3921,1885,400,36,112,741,1,0,0,2663,5463,3,178,8,192,4,38,41,2056,125,0,4,568,134,111
ND,2010,365,4942,10,251,268,2242,4207,1980,295,36,79,570,0,0,0,2489,5285,2,143,8,131,5,42,32,1949,147,0,1,492,124,89
ND,2011,441,5732,13,218,206,1723,4968,2245,338,43,68,426,0,0,0,2610,4327,0,110,9,123,16,33,23,1998,140,0,2,472,140,70
ND,2012,446,6945,19,231,146,2017,7317,2786,322,46,62,442,0,0,0,2766,4572,5,160,7,132,35,41,46,2318,139,0,4,526,305,91
ND,2013,513,6429,16,230,88,1862,7116,3325,338,38,76,391,2,0,0,2607,4002,1,162,9,134,43,36,44,2424,144,0,0,466,340,79
ND,2014,497,6671,15,236,87,1668,6739,3938,374,62,104,431,0,0,0,2730,3556,6,200,19,108,47,56,56,2373,156,0,2,443,359,70
ND,2015,643,8418,22,313,105,2315,6879,4981,975,50,132,340,3,0,0,3209,3241,5,265,19,582,49,54,50,2946,319,6,2,515,449,129
ND,2016,757,11067,172,335,124,2647,6342,5658,698,60,132,366,0,0,0,3014,3167,8,277,14,827,23,55,76,3251,349,4,7,534,382,99
ND,2017,769,12010,18,352,107,2502,6404,5656,685,53,161,414,1,1,0,3143,3124,2,297,6,674,38,67,68,3078,309,1,7,497,319,119
ND,2018,736,11188,11,278,106,2048,5575,5719,489,34,149,377,1,2,0,2688,2796,6,267,12,632,11,69,63,3238,284,0,8,468,353,87
ND,2019,736,10627,21,326,69,2252,4914,5365,328,50,171,501,2,0,0,2666,2553,8,287,18,519,19,71,64,3163,316,0,1,518,311,105
ND,2020,953,10063,22,389,170,1847,4629,4804,418,39,180,565,0,0,0,2349,2700,7,348,28,425,14,58,69,3376,352,1,8,514,295,86
ND,2021,665,9176,36,343,79,1481,4119,4209,0,31,114,563,1,0,0,1937,2098,6,235,11,360,6,53,54,3146,348,0,0,533,253,90
ND,2022,702,9437,39,371,104,1368,4451,3854,0,34,117,538,0,0,0,2410,2227,8,298,19,332,3,46,82,3289,273,0,0,507,262,100
OH,2004,4242,75281,429,7056,2452,20463,22193,33473,6543,37,2190,3643,177,0,0,27942,16315,19,2535,230,12021,1432,700,2767,31764,5032,123,58,5311,3189,1475
OH,2005,4126,75041,425,6816,2455,20325,22251,35602,5245,34,2113,3902,171,0,0,26640,14776,14,2333,296,10214,1903,706,3022,31439,5214,84,96,5389,3394,1302
OH,2006,4457,72744,348,6807,2039,22139,22120,36894,4473,49,1860,3956,104,0,0,27052,14336,20,1922,220,8493,2109,609,3055,32530,4868,34,93,5629,3590,1181
OH,2007,3907,70764,327,7032,1953,23138,20954,35808,5306,38,1659,3755,63,0,0,28643,15049,12,1758,229,7899,2770,623,3350,35072,4413,76,54,5134,3141,1171
OH,2008,3946,73853,278,7405,1597,23720,41355,35511,4624,60,1604,3795,127,0,0,32924,14737,15,1513,234,7136,1514,560,3363,37741,4167,54,66,5340,3772,1116
OH,2009,3558,72073,300,6736,1581,22929,40746,34471,4147,48,1585,3508,140,0,0,33848,13743,7,1387,242,5319,1914,486,3365,38693,3862,44,55,5410,3804,1009
OH,2010,4082,68466,233,7032,1315,20425,37625,32257,3820,38,1577,3073,58,0,0,32675,12262,4,965,189,4385,1738,521,2840,38508,3641,83,45,4817,3330,860
OH,2011,4316,64846,253,6956,1005,18513,37972,30147,3209,21,1211,2708,68,0,0,32420,10676,8,942,246,3826,1415,491,2947,37592,3755,55,39,4777,3322,795
OH,2012,4322,61733,179,6740,936,17708,38439,30526,3217,14,1159,2416,66,0,0,33663,9715,6,787,210,3121,920,446,2627,35921,3846,73,21,4534,3340,828
OH,2013,4302,58134,219,5648,706,16437,35956,32825,3113,39,1319,2629,19,0,0,34097,8200,15,802,165,2389,1872,433,2466,34295,3574,67,39,4126,3259,811
OH,2014,4104,56005,206,4992,502,16913,36190,37310,2656,53,1159,2604,35,0,0,34422,8692,5,781,222,1982,1558,507,2214,33443,3461,52,27,4012,3341,703
OH,2015,3902,56769,219,4411,622,16259,35613,34858,1785,26,1085,2382,64,0,0,33251,7132,5,814,181,1918,1279,457,2084,32338,3299,36,84,3691,3399,673
OH,2016,4792,62403,276,4103,549,15545,26571,38708,2168,21,1086,2369,41,0,0,31274,6330,19,718,223,1737,1339,505,2011,31289,3758,31,102,3801,3898,606
OH,2017,6331,64689,299,4648,568,13468,16127,41394,4782,22,1057,2390,23,1,0,32102,5610,9,992,272,1765,1167,491,2268,36807,3374,6,159,4235,4448,521
OH,2018,6778,64775,285,3979,408,10859,14995,42702,6129,19,888,2319,26,0,1,29359,5181,13,988,280,1437,815,548,1994,37176,3013,4,53,4062,4440,500
OH,2019,7272,60651,273,3937,365,10739,14393,35624,6106,23,640,2177,21,3,0,28167,5350,20,947,273,1090,417,489,1961,37854,2736,21,17,4110,4661,594
OH,2020,6587,46241,258,3449,353,9171,11737,20466,2809,17,382,1466,5,8,0,19847,3793,14,892,330,791,280,435,1600,33976,2170,14,11,3614,5034,520
OH,2021,5181,41519,152,2646,214,8290,11874,20543,0,4,190,1125,6,1,1,15367,3813,10,1016,289,473,378,352,1217,31409,1782,0,5,3431,5918,330
OH,2022,5301,43113,160,2812,193,7868,12030,18736,0,17,223,1168,2,1,0,17358,3584,5,1278,262,510,249,365,1205,33876,2225,0,1,3478,4879,328
OK,2004,4744,35972,229,3059,2402,3373,19485,22712,24341,564,1294,3666,320,0,0,13394,4010,35,1121,175,1194,561,354,639,10330,2273,0,26,1411,2335,831
OK,2005,4622,35842,307,3010,2255,3044,16827,22464,23102,542,1144,3217,21,0,0,11749,3245,27,1166,171,1059,457,348,697,10466,2500,0,1407,1411,2390,729
OK,2006,4372,37499,375,3054,2295,3273,17124,22321,23996,540,943,2659,49,0,0,9785,3795,14,1024,166,847,451,277,769,10378,2276,0,0,1440,2651,771
OK,2007,4370,39579,278,3067,2200,3474,18238,22338,25176,642,977,2667,5,0,0,10810,3295,28,1010,183,1072,434,320,793,10309,2558,0,2,1553,2520,782
OK,2008,4688,40307,278,3128,2230,3401,19069,20720,25530,661,835,2513,7,0,0,13088,3055,11,596,160,979,412,316,836,10243,2274,0,0,1567,2136,727
OK,2009,4782,41578,258,3103,1894,3656,19603,20959,23477,573,833,2773,10,0,0,16333,2751,13,502,200,962,411,271,868,10001,2463,0,3,1502,2018,794
OK,2010,4518,41902,255,3037,1976,2882,17597,19886,22000,487,799,2282,46,0,0,14915,2566,16,448,161,895,247,243,762,9481,2244,0,1111,1438,1945,662
OK,2011,4294,38474,185,2896,1853,2795,15291,16828,20609,459,734,2002,10,0,0,15007,2008,10,542,153,900,191,248,698,8901,2165,0,166,1269,1855,563
OK,2012,3986,32894,198,2663,1395,2682,14442,17173,20032,427,633,1746,5,0,0,14941,1913,5,538,135,763,366,237,614,8944,2431,0,4,1337,2058,572
OK,2013,3940,31608,229,2390,1249,2449,13370,17049,17129,441,620,1686,11,0,0,15726,1664,8,529,157,671,330,218,662,8462,2594,0,6,1254,2175,491
OK,2014,3677,30093,163,2367,1002,2126,12894,17726,16347,487,556,1625,40,0,0,16329,1614,10,597,131,745,140,241,732,8847,2545,0,696,1177,2033,476
OK,2015,3841,27131,146,2180,1044,2330,11653,19061,14655,514,607,1727,12,0,0,15980,1553,21,600,184,677,8,235,725,8859,2547,111,201,1382,2276,446
OK,2016,3740,22929,215,2130,1069,2004,12440,22573,13712,391,691,1664,35,0,0,13286,1440,20,653,185,629,6,217,662,8392,2816,9,34,1245,2252,418
OK,2017,3777,23742,148,2316,860,2116,11007,20996,12982,410,622,1509,51,10,2,11298,1414,11,730,161,560,358,183,726,8278,2908,2,59,1284,2250,461
OK,2018,3995,24388,175,2455,652,2224,8923,18745,11044,364,557,1369,28,32,0,11486,1219,10,889,145,641,262,226,656,8020,3040,5,14,1253,2492,382
OK,2019,3696,23914,183,2475,577,2136,9085,16283,9522,409,517,1185,10,40,4,11662,828,11,1368,164,537,141,164,584,8619,2647,0,258,1415,2759,376
OK,2020,4092,19693,185,2321,375,1965,8577,12086,7010,309,396,1052,4,27,0,9401,587,17,1536,174,424,159,150,604,8170,2157,1,52,1682,2987,322
OK,2021,3480,23256,149,2205,246,1772,8952,12215,0,135,253,685,6,8,0,7429,670,20,1452,147,299,187,130,376,8557,1605,0,92,1591,2764,134
OK,2022,3575,23146,160,2142,281,2343,8574,12188,0,193,297,736,0,6,0,7784,775,15,1288,150,302,167,140,393,8950,1262,0,106,1585,2799,162
OR,2004,3215,24908,357,3766,2657,8531,17492,22860,0,96,2451,1861,4,0,0,25147,16733,11,3217,128,646,868,303,1418,17761,548,0,4,4935,2329,1282
OR,2005,3277,23007,267,3296,2500,7238,15450,21711,0,78,2007,1842,9,0,0,21924,15194,15,2814,134,567,658,299,1009,15654,710,0,4,4828,2125,1368
OR,2006,3243,22408,346,3005,2692,7710,16964,20821,0,65,1413,1737,13,0,0,20295,16981,12,2018,113,560,687,296,1035,15744,749,0,8,5309,2036,1246
OR,2007,3451,22319,308,3034,2789,7896,17620,19234,0,63,1421,1818,7,0,0,21420,18868,7,2091,83,630,515,307,1193,15736,697,0,24,5612,1956,1299
OR,2008,3331,22264,352,2872,2018,8389,17470,16892,0,60,995,1718,3,0,0,22722,19650,10,1462,95,630,753,283,1196,15608,375,0,10,5496,1782,1350
OR,2009,3039,20990,247,2608,1962,9390,15419,16491,0,44,824,1549,4,0,0,21676,18162,11,1186,73,778,664,264,1115,14932,403,0,10,5024,1526,1306
