state_abbr,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Unemployment_Rate
AZ,2015,8187,81052,208,3913,1334,18961,27617,29602,14105,190,1012,1940,15,0,0,35808,12577,21,1681,208,3625,659,316,1716,26721,1212,185,377,10467,2854,1529,6.133727811
AZ,2016,9402,77897,201,4131,1131,17145,24555,31404,15464,365,1160,2084,9,0,0,33994,10269,42,1674,253,3239,388,361,1893,27540,1388,137,365,10742,3054,1472,5.579472007
AZ,2017,10887,86713,237,4331,1213,17165,25738,37108,17582,457,1235,2188,14,0,181,30746,9855,22,1799,283,3588,308,356,2175,28797,1461,150,618,11125,3286,1417,5.017951052
AZ,2018,10439,84794,430,4050,681,17136,21313,35024,13396,854,1191,2227,7,250,0,27406,8172,35,1806,297,3158,350,378,1991,28642,1209,57,607,10952,3333,1524,4.824457773
AZ,2019,10169,76093,197,4087,583,15719,20510,32516,11961,507,927,2213,1,0,1,27430,6771,41,1811,345,2799,316,342,2045,28062,1067,35,457,10805,3339,1475,4.809573675
AZ,2020,10057,53583,257,3680,566,13431,16546,23738,5695,348,628,1491,9,5,78,22117,4583,44,1836,384,2601,386,346,1908,25022,1043,105,844,9462,3771,1175,7.608428744
AZ,2021,3409,30433,109,1245,248,9374,14016,10003,0,55,202,643,0,1,0,8257,2345,26,759,111,441,64,141,399,12643,328,0,130,3678,1044,197,5.269879134
AZ,2022,8222,55414,181,2731,229,11465,17443,21037,34,421,436,1449,0,29,0,17172,3146,57,1378,343,756,618,295,1444,23105,1065,0,1877,6888,3474,731,3.936144549
AR,2014,3142,55260,50,2204,204,2509,7034,11320,5985,44,751,1287,8,0,0,13028,1937,8,420,88,278,222,249,594,10785,1163,0,543,1286,915,125,5.953846154
AR,2015,3732,59878,74,2039,313,2391,7126,12842,7091,55,709,1179,1,0,0,14084,1977,7,380,138,228,217,279,595,11437,1279,0,741,1390,887,138,5.027218935
AR,2016,3929,62285,47,2236,365,2640,6807,15893,6893,64,855,1133,8,0,0,11715,1836,10,509,142,364,282,298,573,12248,1439,0,893,1518,1064,124,3.187983614
AR,2017,3839,55481,41,2123,312,2538,6087,17788,6308,52,844,898,15,0,0,9854,1490,14,608,140,308,170,286,555,11675,1780,0,322,1556,1115,65,3.766433248
