state_abbr,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Population,Aggravated Assault_rate,All Other Offenses (Except Traffic)_rate,Arson_rate,Burglary_rate,Curfew and Loitering Law Violations_rate,Disorderly Conduct_rate,Driving Under the Influence_rate,Drug Abuse Violations - Grand Total_rate,Drunkenness_rate,Embezzlement_rate,Forgery and Counterfeiting_rate,Fraud_rate,Gambling - Total_rate,Human Trafficking - Commercial Sex Acts_rate,Human Trafficking - Involuntary Servitude_rate,Larceny - Theft_rate,Liquor Laws_rate,Manslaughter by Negligence_rate,Motor Vehicle Theft_rate,Murder and Nonnegligent Manslaughter_rate,Offenses Against the Family and Children_rate,Prostitution and Commercialized Vice_rate,Rape_rate,Robbery_rate,Simple Assault_rate,"Stolen Property: Buying, Receiving, Possessing_rate",Suspicion_rate,Vagrancy_rate,Vandalism_rate,"Weapons: Carrying, Possessing, Etc._rate","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)_rate"
AZ,2016,9402,77897,201,4131,1131,17145,24555,31404,15464,365,1160,2084,9,0,0,33994,10269,42,1674,253,3239,388,361,1893,27540,1388,137,365,10742,3054,1472,6944767,135.3825118,1121.664701,2.894265567,59.4836371,16.28564356,246.8765331,353.5755771,452.1965964,222.6712574,5.255755881,16.70322417,30.00820618,0.129593981,0,0,489.4908641,147.8667319,0.60477191,24.1044804,3.643030789,46.63943369,5.586940498,5.198158556,27.25793392,396.5575807,19.98627168,1.972708372,5.255755881,154.6776155,43.97555742,21.1958155
AZ,2017,10887,86713,237,4331,1213,17165,25738,37108,17582,457,1235,2188,14,0,181,30746,9855,22,1799,283,3588,308,356,2175,28797,1461,150,618,11125,3286,1417,7048088,154.4674244,1230.305297,3.362614088,61.44928951,17.2103413,243.5412271,365.1770523,526.497399,249.4577253,6.484028009,17.52248269,31.04388027,0.198635431,0,2.568072362,436.2317837,139.8251554,0.312141392,25.52465293,4.015273362,50.9074234,4.369979489,5.051015254,30.85943308,408.578894,20.72902608,2.128236764,8.768335469,157.8442267,46.62257338,20.1047433
AZ,2018,10439,84794,430,4050,681,17136,21313,35024,13396,854,1191,2227,7,250,0,27406,8172,35,1806,297,3158,350,378,1991,28642,1209,57,607,10952,3333,1524,7164228,145.7100472,1183.574839,6.002042369,56.53086418,9.505560125,239.1883675,297.491928,488.8733301,186.9845572,11.92033531,16.62426154,31.08499618,0.097707666,3.489559517,0,382.5394725,114.0667215,0.488538332,25.20857795,4.145596706,44.08011582,4.885383324,5.27621399,27.79085199,399.7918548,16.87550982,0.79561957,8.472650507,152.8706233,46.52280748,21.27235482
AZ,2019,10169,76093,197,4087,583,15719,20510,32516,11961,507,927,2213,1,0,1,27430,6771,41,1811,345,2799,316,342,2045,28062,1067,35,457,10805,3339,1475,7291843,139.457199,1043.535907,2.701648952,56.04893029,7.995235224,215.5696441,281.273198,445.9229306,164.0326047,6.952974714,12.71283542,30.34898036,0.013713954,0,0.013713954,376.1737602,92.85718302,0.562272117,24.83597082,4.731314155,38.38535745,4.333609487,4.690172293,28.04503608,384.8409792,14.63278899,0.479988393,6.267277011,148.1792737,45.79089265,20.22808226
AZ,2020,10057,53583,257,3680,566,13431,16546,23738,5695,348,628,1491,9,5,78,22117,4583,44,1836,384,2601,386,346,1908,25022,1043,105,844,9462,3771,1175,7186683,139.9393851,745.5873593,3.576058663,51.20582054,7.875677834,186.8873304,230.2313877,330.3053718,79.24379022,4.842289551,8.738384593,20.7467061,0.125231626,0.069573126,1.085340762,307.7497644,63.77072705,0.612243506,25.54725177,5.343216057,36.19194001,5.371045307,4.814460301,26.54910478,348.1717504,14.51295403,1.461035641,11.74394362,131.6601831,52.47205143,16.34968455
AZ,2021,3409,30433,109,1245,248,9374,14016,10003,0,55,202,643,0,1,0,8257,2345,26,759,111,441,64,141,399,12643,328,0,130,3678,1044,197,7272487,46.87529864,418.4675751,1.498799517,17.11931558,3.410112662,128.8967584,192.7263672,137.5457942,0,0.756274985,2.777591765,8.841542102,0,0.013750454,0,113.537501,32.24481529,0.357511811,10.4365948,1.526300425,6.063950338,0.880029074,1.938814054,5.486431258,173.8469935,4.510149004,0,1.787559056,50.57417084,14.35547427,2.708839493
AZ,2022,8222,55414,181,2731,229,11465,17443,21037,34,421,436,1449,0,29,0,17172,3146,57,1378,343,756,618,295,1444,23105,1065,0,1877,6888,3474,731,7365684,111.6257499,752.3265999,2.457341368,37.07734407,3.109012008,155.6542475,236.814395,285.6082341,0.461600036,5.715694564,5.919341639,19.67230742,0,0.393717678,0,233.1351712,42.71157981,0.773858884,18.70837793,4.656729776,10.26381257,8.390259479,4.005059136,19.60442506,313.6843774,14.45894231,0,25.48303728,93.51473672,47.16466251,9.924400775
AR,2014,3142,55260,50,2204,204,2509,7034,11320,5985,44,751,1287,8,0,0,13028,1937,8,420,88,278,222,249,594,10785,1163,0,543,1286,915,125,2968759,105.8354686,1861.383831,1.684205421,74.23977494,6.871558116,84.513428,236.9340186,381.3041072,201.5993888,1.48210077,25.29676542,43.35144752,0.269472867,0,0,438.8365644,65.24611799,0.269472867,14.14732553,2.96420154,9.364182138,7.477872067,8.387342994,20.0083604,363.2831092,39.17461808,0,18.29047087,43.31776342,30.8209592,4.210513551
AR,2015,3732,59878,74,2039,313,2391,7126,12842,7091,55,709,1179,1,0,0,14084,1977,7,380,138,228,217,279,595,11437,1279,0,741,1390,887,138,2979732,125.2461631,2009.50958,2.48344482,68.42897281,10.50430039,80.24211573,239.1490241,430.9783564,237.9744219,1.845803582,23.79408618,39.56731679,0.033560065,0,0,472.6599573,66.34824877,0.234920456,12.75282475,4.631288988,7.65169485,7.282534134,9.363258172,19.96823875,383.8264649,42.92332331,0,24.86800826,46.64849054,29.76777777,4.631288988
AR,2016,3929,62285,47,2236,365,2640,6807,15893,6893,64,855,1133,8,0,0,11715,1836,10,509,142,364,282,298,573,12248,1439,0,893,1518,1064,124,2991815,131.3249649,2081.846638,1.570952749,74.73724144,12.1999522,88.24075018,227.5207525,531.216001,230.3952617,2.139169701,28.57797023,37.86998862,0.267396213,0,0,391.5683289,61.36743081,0.334245266,17.01308403,4.746282775,12.16652768,9.425716497,9.960508922,19.15225373,409.3836016,48.09789375,0,29.84810224,50.73843135,35.56369628,4.144641296
AR,2017,3839,55481,41,2123,312,2538,6087,17788,6308,52,844,898,15,0,0,9854,1490,14,608,140,308,170,286,555,11675,1780,0,322,1556,1115,65,3003855,127.8024405,1846.99328,1.364912754,70.6758482,10.38665315,84.49142851,202.6396081,592.1723918,209.9968208,1.731108858,28.09722839,29.89491836,0.499358325,0,0,328.0451287,49.60292691,0.46606777,20.24065742,4.660677696,10.25349093,5.659394345,9.521098721,18.47625801,388.6672293,59.25718785,0,10.7195587,51.80010353,37.11896879,2.163886073
